50 38 27 0
51 34 33 1
52 30 26 2
53 34 29 3
54 32 30 4
55 36 31 5
97 42 38 6
98 38 36 7
140 42 42 8
141 44 40 9
183 42 41 10
225 46 46 11
226 50 45 12
268 48 48 13
310 48 46 14
352 46 46 15
394 48 48 16
436 48 48 17
478 46 48 18
561 48 47 19
603 48 48 20
645 50 47 21
728 50 48 22
770 50 48 23
853 50 49 24
895 48 48 25
978 48 49 26
1061 48 49 27
1144 50 49 28
1225 50 49 29
